"block_id","program","k","N","q","prev","draws","seed","status"
1,"tail_topup",3,15,0.97,NA,50000,20300001,"claimed"
2,"tail_topup",3,30,0.97,NA,50000,20300002,"claimed"
3,"tail_topup",3,50,0.97,NA,50000,20300003,"claimed"
4,"tail_topup",3,75,0.97,NA,50000,20300004,"claimed"
5,"tail_topup",3,150,0.92,NA,50000,20300005,"claimed"
6,"tail_topup",3,200,0.65,NA,50000,20300006,"claimed"
7,"tail_topup",3,300,0.75,NA,50000,20300007,"claimed"
8,"tail_topup",3,300,0.85,NA,50000,20300008,"claimed"
9,"tail_topup",5,200,0.97,NA,50000,20300009,"claimed"
10,"tail_topup",6,200,0.97,NA,50000,20300010,"claimed"
11,"tail_topup",6,1000,0.65,NA,50000,20300011,"claimed"
12,"tail_topup",8,200,0.97,NA,50000,20300012,"claimed"
13,"tail_topup",8,300,0.75,NA,50000,20300013,"claimed"
14,"tail_topup",8,300,0.85,NA,50000,20300014,"claimed"
15,"tail_topup",8,500,0.75,NA,50000,20300015,"claimed"
16,"tail_topup",8,1000,0.65,NA,50000,20300016,"claimed"
17,"tail_topup",10,200,0.85,NA,50000,20300017,"claimed"
18,"tail_topup",15,75,0.97,NA,50000,20300018,"claimed"
19,"tail_topup",15,300,0.97,NA,50000,20300019,"claimed"
20,"tail_topup",25,300,0.75,NA,50000,20300020,"claimed"
21,"tail_topup",25,300,0.92,NA,50000,20300021,"claimed"
22,"prev_strata",3,15,0.65,0.05,50000,20300022,"claimed"
23,"prev_strata",3,15,0.65,0.2,50000,20300023,"claimed"
24,"prev_strata",3,15,0.65,0.5,50000,20300024,"claimed"
25,"prev_strata",3,15,0.65,0.8,50000,20300025,"claimed"
26,"prev_strata",3,15,0.65,0.95,50000,20300026,"claimed"
27,"prev_strata",3,15,0.75,0.05,50000,20300027,"claimed"
28,"prev_strata",3,15,0.75,0.2,50000,20300028,"claimed"
29,"prev_strata",3,15,0.75,0.5,50000,20300029,"claimed"
30,"prev_strata",3,15,0.75,0.8,50000,20300030,"claimed"
31,"prev_strata",3,15,0.75,0.95,50000,20300031,"claimed"
32,"prev_strata",3,15,0.85,0.05,50000,20300032,"claimed"
33,"prev_strata",3,15,0.85,0.2,50000,20300033,"claimed"
34,"prev_strata",3,15,0.85,0.5,50000,20300034,"claimed"
35,"prev_strata",3,15,0.85,0.8,50000,20300035,"claimed"
36,"prev_strata",3,15,0.85,0.95,50000,20300036,"claimed"
37,"prev_strata",3,15,0.92,0.05,50000,20300037,"claimed"
38,"prev_strata",3,15,0.92,0.2,50000,20300038,"claimed"
39,"prev_strata",3,15,0.92,0.5,50000,20300039,"claimed"
40,"prev_strata",3,15,0.92,0.8,50000,20300040,"claimed"
41,"prev_strata",3,15,0.92,0.95,50000,20300041,"claimed"
42,"prev_strata",3,15,0.97,0.05,50000,20300042,"claimed"
43,"prev_strata",3,15,0.97,0.2,50000,20300043,"claimed"
