"block_id","program","k","N","q","prev","draws","seed","wall_secs","file","md5","demo","package_version","r_version"
686,"prev_strata",6,75,0.85,0.95,50000,20300686,577.629,"block_0686.rds","d04c03866eccb237ab56f828744f05f5",FALSE,"0.7.4","R version 4.3.1 (2023-06-16)"
687,"prev_strata",6,75,0.92,0.05,50000,20300687,578.727,"block_0687.rds","8af6c133bcadbbf19d994d57349e53eb",FALSE,"0.7.4","R version 4.3.1 (2023-06-16)"
688,"prev_strata",6,75,0.92,0.2,50000,20300688,575.258,"block_0688.rds","0b50fa6675efe510f4cf827ce3249082",FALSE,"0.7.4","R version 4.3.1 (2023-06-16)"
689,"prev_strata",6,75,0.92,0.5,50000,20300689,579.041,"block_0689.rds","02c7d5f7bb7a8781dc7ade0de62b543b",FALSE,"0.7.4","R version 4.3.1 (2023-06-16)"
690,"prev_strata",6,75,0.92,0.8,50000,20300690,578.562,"block_0690.rds","32057ff99a91229d77d9eacdc3bcf20b",FALSE,"0.7.4","R version 4.3.1 (2023-06-16)"
691,"prev_strata",6,75,0.92,0.95,50000,20300691,580.263,"block_0691.rds","a83e5c7e68dd82fb651a52daf65740b9",FALSE,"0.7.4","R version 4.3.1 (2023-06-16)"
692,"prev_strata",6,75,0.97,0.05,50000,20300692,572.516,"block_0692.rds","9c47b11145b482f93d5c0b7f3ea166a2",FALSE,"0.7.4","R version 4.3.1 (2023-06-16)"
693,"prev_strata",6,75,0.97,0.2,50000,20300693,575.415,"block_0693.rds","291655be335e20dca46231d9c0d87c59",FALSE,"0.7.4","R version 4.3.1 (2023-06-16)"
694,"prev_strata",6,75,0.97,0.5,50000,20300694,575.29,"block_0694.rds","27535b6f001402d0731ca2cab2250bef",FALSE,"0.7.4","R version 4.3.1 (2023-06-16)"
695,"prev_strata",6,75,0.97,0.8,50000,20300695,577.464,"block_0695.rds","9bfd5da7b055de44aa9e8dc15532d41a",FALSE,"0.7.4","R version 4.3.1 (2023-06-16)"
