"block_id","program","k","N","q","prev","draws","seed","wall_secs","file","md5","demo","package_version","r_version"
79,"prev_strata",3,30,0.75,0.5,50000,20300079,2277.552,"block_0079.rds","9452b403b108c81b054a3cb8bba34eb2",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
78,"prev_strata",3,30,0.75,0.2,50000,20300078,2303.685,"block_0078.rds","65408e44bd717c427d3bc1ee88d8713c",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
80,"prev_strata",3,30,0.75,0.8,50000,20300080,2320.318,"block_0080.rds","5bbbc7ff88605f76be839eb0913630ba",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
81,"prev_strata",3,30,0.75,0.95,50000,20300081,2233.987,"block_0081.rds","63b7f9ddf963e5b113daa1b314fea93d",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
82,"prev_strata",3,30,0.85,0.05,50000,20300082,2385.766,"block_0082.rds","77fcff91f99f0fe212df474f2e227b55",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
83,"prev_strata",3,30,0.85,0.2,50000,20300083,2526.609,"block_0083.rds","03df8ed2bc5accc726b20283a653e5a7",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
84,"prev_strata",3,30,0.85,0.5,50000,20300084,2421.807,"block_0084.rds","eb138c8ebd41154e519f2b43f6afe6d5",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
86,"prev_strata",3,30,0.85,0.95,50000,20300086,2427.228,"block_0086.rds","c5778e0fe406f3cf9b0e09e53ed8c825",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
85,"prev_strata",3,30,0.85,0.8,50000,20300085,2557.264,"block_0085.rds","8d8ab0f6377512ca94edf69326dfb1c1",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
87,"prev_strata",3,30,0.92,0.05,50000,20300087,2788.264,"block_0087.rds","61e435c7a0f526d8cb2e388b596e5971",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
89,"prev_strata",3,30,0.92,0.5,50000,20300089,2773.976,"block_0089.rds","b6361368cf43fbf05b7ae74b55732da3",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
