"block_id","program","k","N","q","prev","draws","seed","wall_secs","file","md5","demo","package_version","r_version"
2087,"lattice_k",12,150,0.65,NA,50000,20302087,932.865,"block_2087.rds","8d1ee8e61600c991361971155498ea31",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2088,"lattice_k",12,150,0.75,NA,50000,20302088,930.429,"block_2088.rds","2a82f863c428cfba7c3500e091c22150",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2089,"lattice_k",12,150,0.85,NA,50000,20302089,932.366,"block_2089.rds","70ffdbcbf4f6a593d2898059f9e17b7a",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2090,"lattice_k",12,150,0.92,NA,50000,20302090,930.66,"block_2090.rds","8042822145003b3d96a67ea3be8361ad",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2091,"lattice_k",12,150,0.97,NA,50000,20302091,930.813,"block_2091.rds","9183f78add4e2863750969f6170ef198",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2092,"lattice_k",12,200,0.65,NA,50000,20302092,943.506,"block_2092.rds","481637b1ada203b1169a18c2f6487ab7",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2093,"lattice_k",12,200,0.75,NA,50000,20302093,943.011,"block_2093.rds","f6c422132d447cddd98e47bca952ea1a",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2094,"lattice_k",12,200,0.85,NA,50000,20302094,946.605,"block_2094.rds","6f6f6cc784cf3983f5e33f7530ad36e4",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2095,"lattice_k",12,200,0.92,NA,50000,20302095,943.63,"block_2095.rds","69446a6b40cb43a102c0e147f9de5a42",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2096,"lattice_k",12,200,0.97,NA,50000,20302096,945.585,"block_2096.rds","44db206bfdcefb954296107aa9f5969b",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2097,"lattice_k",12,300,0.65,NA,50000,20302097,975.889,"block_2097.rds","29a699b2287b38382d90d3583b7694b2",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2098,"lattice_k",12,300,0.75,NA,50000,20302098,960.467,"block_2098.rds","ab795f9e00f37abf1686ac363384daf9",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2099,"lattice_k",12,300,0.85,NA,50000,20302099,957.312,"block_2099.rds","38cc58642f5bf49ac34cd607540f34c9",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2100,"lattice_k",12,300,0.92,NA,50000,20302100,959.02,"block_2100.rds","91fd2f61e7538d7cee9449f5d49418c8",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2101,"lattice_k",12,300,0.97,NA,50000,20302101,956.44,"block_2101.rds","241118cc727333b227eddf5d282f8a77",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2102,"lattice_k",12,500,0.65,NA,50000,20302102,993.282,"block_2102.rds","1bd513eb87a4a4e0caf71172a3592035",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2103,"lattice_k",12,500,0.75,NA,50000,20302103,990.841,"block_2103.rds","3ceb45d3a2106aa849423e61ef929a61",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2104,"lattice_k",12,500,0.85,NA,50000,20302104,1224.985,"block_2104.rds","902fb383ac63a8b4ca25e5917636b175",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2105,"lattice_k",12,500,0.92,NA,50000,20302105,1015.47,"block_2105.rds","5fc556c1192d261de60ca1fb106271d4",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2106,"lattice_k",12,500,0.97,NA,50000,20302106,1013.022,"block_2106.rds","d57586b5cf0acbfd1131066557379741",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2107,"lattice_k",12,1000,0.65,NA,50000,20302107,1100.35,"block_2107.rds","9a2bc22f970506cc9dca6918e71fbc6b",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2108,"lattice_k",12,1000,0.75,NA,50000,20302108,1094.519,"block_2108.rds","a650def7cfca3f581ac7a479de0dfbe6",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2109,"lattice_k",12,1000,0.85,NA,50000,20302109,1095.972,"block_2109.rds","ba37b4a0578fd673236adc20ab2481db",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2110,"lattice_k",12,1000,0.92,NA,50000,20302110,1091.197,"block_2110.rds","aa49d1d2d345a8425d5e482ed8831ea8",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2111,"lattice_k",12,1000,0.97,NA,50000,20302111,1096.554,"block_2111.rds","ed1c2cb652f496c3a857fb3fbc293bb1",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2112,"lattice_k",20,15,0.65,NA,50000,20302112,1263.287,"block_2112.rds","25a09eaa24b281665d9ce2c350b58c80",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2113,"lattice_k",20,15,0.75,NA,50000,20302113,1264.17,"block_2113.rds","6fc4bffcf6c5255d2ecc61f0a3ac74c4",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2114,"lattice_k",20,15,0.85,NA,50000,20302114,1260.569,"block_2114.rds","4141ce861972fe371d03c330371cdfca",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2115,"lattice_k",20,15,0.92,NA,50000,20302115,1215.249,"block_2115.rds","31588e5500724735b6b981ac152290a6",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2116,"lattice_k",20,15,0.97,NA,50000,20302116,1264.371,"block_2116.rds","bac232cab1e60ec4e29d000c6d34512d",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2117,"lattice_k",20,20,0.65,NA,50000,20302117,1197.862,"block_2117.rds","615775287c7941e8d0fa111316a32482",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
2118,"lattice_k",20,20,0.75,NA,50000,20302118,1199.177,"block_2118.rds","46e4fadfb8252a5214227915721ddf99",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
